Item,list,Verbtype,group,semanticprime,Gfprime,Context,Sentence1,Target,Reference Question,Content question,Correct content answer (from context S),Incorrect content answer
p01,,gs,priming,goal,subject,Ana and Matt were taking an English lit class together.,Ana borrowed the book from Matt,and then she looked up a reference.,Did Ana look up a reference?,What were Ana and Matt doing?,taking an English lit class together,playing with the frisbee
p01,,gs,priming,source,nonsubj,Ana and Matt were taking an English lit class together.,Ana borrowed the book from Matt,and then he turned his essay in.,Did Ana turn her essay in?,What were Ana and Matt doing?,taking an English lit class together,playing with the frisbee
p02,,gs,priming,goal,subject,Ana and Will were looking at their old silverware.,Ana took a serving spoon from Will,and then she got out the silver polish.,Did Will get the silver polish out?,What did Ana take from Will?,a serving spoon,the fries
p02,,gs,priming,source,nonsubj,Ana and Will were looking at their old silverware.,Ana took a serving spoon from Will,and then he organized the teaspoons.,Did Will organize the teaspoons?,What did Ana take from Will?,a serving spoon,the fries
p03,,gs,priming,goal,subject,Ana and Matt were playing basketball.,Ana got the ball from Matt,and then she made a basket.,Did Ana make a basket?,What were Ana and Matt doing?,playing basketball,watching TV
p03,,gs,priming,source,nonsubj,Ana and Matt were playing basketball.,Ana got the ball from Matt,and then he ran down the court.,Did Ana run down the court?,What were Ana and Matt doing?,playing basketball,watching TV
p04,,gs,priming,goal,subject,Ana and Will were going to a concert.,Ana accepted a ride from Will,and then she offered to pay for parking.,Did Will offer to pay for parking?,What did Ana accept from Will?,a ride,the instructions
p04,,gs,priming,source,nonsubj,Ana and Will were going to a concert.,Ana accepted a ride from Will,and then he paid for parking too.,Did Will pay for parking too?,What did Ana accept from Will?,a ride,the instructions
p05,,gs,priming,goal,subject,Liz and Matt were getting ready for a party.,Liz borrowed a hat from Will,and then she put it on.,Did Will put a hat on?,What were Liz and Will doing?,getting ready for a party,taking an English lit class together
p05,,gs,priming,source,nonsubj,Liz and Matt were getting ready for a party.,Liz borrowed a hat from Will,and then he put on his jacket.,Did Will put on his jacket?,What were Liz and Will doing?,getting ready for a party,taking an English lit class together
p06,,gs,priming,goal,subject,Liz and Matt were playing with the frisbee outside.,Liz snatched the frisbee from Matt,and then she slipped on some mud.,Did Liz slip on some mud?,What were Liz and Matt doing?,playing with the frisbee,studying at the library
p06,,gs,priming,source,nonsubj,Liz and Matt were playing with the frisbee outside.,Liz snatched the frisbee from Matt,and then he decided not to play anymore.,Did Liz decide not to play anymore?,What were Liz and Matt doing?,playing with the frisbee,studying at the library
p07,,gs,priming,goal,subject,Liz and Will were passing notes in class.,Liz received a note from Will,and then she giggled.,Did Will giggle?,What did Liz receive from Will?,a note,a serving spoon
p07,,gs,priming,source,nonsubj,Liz and Will were passing notes in class.,Liz received a note from Will,and then he looked the other way.,Did Will look the other way?,What did Liz receive from Will?,a note,a serving spoon
p08,,gs,priming,goal,subject,Liz and Matt were building an Ikea desk.,Liz got the instructions from Matt,and then she read them out loud.,Did Matt read the instructions out loud?,What did Liz get from Matt?,the instructions,a ride
p08,,gs,priming,source,nonsubj,Liz and Matt were building an Ikea desk.,Liz got the instructions from Matt,and then he laid all the pieces on the floor.,Did Matt lay all the pieces on the floor?,What did Liz get from Matt?,the instructions,a ride
p09,,gs,priming,goal,subject,Matt and Ana were eating at their favorite restaurant.,Matt got the ketchup from Ana,and then he squirted it all over the french fries.,Did Ana squirt ketchup all over the french fries?,What did Matt get from Ana?,the ketchup,the gift
p09,,gs,priming,source,nonsubj,Matt and Ana were eating at their favorite restaurant.,Matt got the ketchup from Ana,and then she ate some pizza.,Did Ana eat some pizza?,What did Matt get from Ana?,the ketchup,the gift
p10,,gs,priming,goal,subject,Matt and Liz were dividing up the rent for the apartment.,Matt recieved a check from Liz,and then he paid the landlord.,Did Matt pay the landlord?,What were Matt and Liz doing?,dividing up the rent for the apartment,playing with the frisbee
p10,,gs,priming,source,nonsubj,Matt and Liz were dividing up the rent for the apartment.,Matt recieved a check from Liz,and then she checked her bank account.,Did Matt check his bank account?,What were Matt and Liz doing?,dividing up the rent for the apartment,playing with the frisbee
p11,,gs,priming,goal,subject,Matt and Ana were participating in a gift exchange.,Matt accepted the gift from Ana,and then he unwrapped it.,Did Ana unwrap the gift?,What did Matt accept from Ana?,the gift,the fishing pole
p11,,gs,priming,source,nonsubj,Matt and Ana were participating in a gift exchange.,Matt accepted the gift from Ana,and then she smiled.,Did Ana smile?,What did Matt accept from Ana?,the gift,the fishing pole
p12,,gs,priming,goal,subject,Matt and Liz were studying at the library.,Matt retrieved a book from Liz,and then he took notes.,Did Matt take notes?,What were Matt and Liz doing?,studying at the library,getting ready for a party
p12,,gs,priming,source,nonsubj,Matt and Liz were studying at the library.,Matt retrieved a book from Liz,and then she took a break from studying.,Did Matt take a break from studying?,What were Matt and Liz doing?,studying at the library,getting ready for a party
p13,,gs,priming,goal,subject,Will and Liz were watching TV.,Will took the remote from Liz,and then he changed the channel.,Did Will change the channel?,What were Will and Liz doing?,watching TV,playing basketball
p13,,gs,priming,source,nonsubj,Will and Liz were watching TV.,Will took the remote from Liz,and then she went to get a beer.,Did Will go to get a beer?,What were Will and Liz doing?,watching TV,playing basketball
p14,,gs,priming,goal,subject,Will and Ana were fishing in the lake.,Will retrieved the fishing pole from Ana,and then he prepared the bait.,Did Will prepare the bait?,What did Will retrieve from Ana?,the fishing pole,a note
p14,,gs,priming,source,nonsubj,Will and Ana were fishing in the lake.,Will retrieved the fishing pole from Ana,and then she got a drink from the cooler.,Did Will get a drink from the cooler?,What did Will retrieve from Ana?,the fishing pole,a note
p15,,gs,priming,goal,subject,Will and Liz were eating at a fast food restaurant.,Will took the fries from Liz,and then he ate them all up.,Did Liz eat all the fries up?,What did Will take from Liz?,the fries,the ketchup
p15,,gs,priming,source,nonsubj,Will and Liz were eating at a fast food restaurant.,Will took the fries from Liz,and then she wiped her hands with a napkin.,Did Liz wipe her hands with a napkin?,What did Will take from Liz?,the fries,the ketchup
p16,,gs,priming,goal,subject,Will and Ana were planning a party.,Will snatched the guest list from Ana,and then he added ten friends to the list.,Did Will add ten friends to the list?,What were Will and Ana doing?,planning a party,dividing up the rent for the apartment
p16,,gs,priming,source,nonsubj,Will and Ana were planning a party.,Will snatched the guest list from Ana,and then she refused to help any more.,Did Will refuse to help anymore?,What were Will and Ana doing?,planning a party,dividing up the rent for the apartment
p17,,sg,priming,source,subject,Ana and Will were playing baseball.,Ana threw the ball to Will,and then she shielded her eyes.,Did Ana shield her eyes?,What were Ana and Will doing?,playing baseball,watching the basketball game
p17,,sg,priming,goal,nonsubj,Ana and Will were playing baseball.,Ana threw the ball to Will,and then he tagged the runner out.,Did Ana tag the runner out?,What were Ana and Will doing?,playing baseball,watching the basketball game
p18,,sg,priming,source,subject,Ana and Matt were going hiking.,Ana loaned a backpack to Matt,and then she grabbed some snacks.,Did Matt grab some snacks?,What did Ana loan to Matt?,a backpack,the detergent
p18,,sg,priming,goal,nonsubj,Ana and Matt were going hiking.,Ana loaned a backpack to Matt,and then he filled it with snacks.,Did Matt fill the backpack with snacks?,What did Ana loan to Matt?,a backpack,the detergent
