Item,list,Verbtype,group,semanticprime,Gfprime,Context,Sentence1,Target,Reference Question,Content question,Correct content answer (from context S),Incorrect content answer
p01,,gs,priming,source,nonsubj,Ana and Matt were taking an English lit class together.,Ana borrowed the book from Matt,and then he turned his essay in.,Did Ana turn her essay in?,What were Ana and Matt doing?,taking an English lit class together,playing with the frisbee
p17,,sg,priming,source,subject,Ana and Will were playing baseball.,Ana threw the ball to Will,and then she shielded her eyes.,Did Ana shield her eyes?,What were Ana and Will doing?,playing baseball,watching the basketball game
p29,,sg,priming,source,subject,Will and Liz were grocery shopping.,Will gave the credit card to Liz,and then he browsed the magazines.,Did Will browse the magazines?,What were Will and Liz doing?,grocery shopping,getting ready for the holidays
p13,,gs,priming,source,nonsubj,Will and Liz were watching TV.,Will took the remote from Liz,and then she went to get a beer.,Did Will go to get a beer?,What were Will and Liz doing?,watching TV,playing basketball
p02,,gs,priming,source,nonsubj,Ana and Will were looking at their old silverware.,Ana took a serving spoon from Will,and then he organized the teaspoons.,Did Will organize the teaspoons?,What did Ana take from Will?,a serving spoon,the fries
p26,,sg,priming,source,subject,Matt and Liz were getting ready for the holidays.,Matt mailed the Christmas card to Liz,and then he bought more stamps.,Did Matt buy more stamps?,What were Matt and Liz doing?,getting ready for the holidays,going skiing
p25,,sg,priming,source,subject,Matt and Ana were cooking dinner.,Matt handed the salt to Ana ,and then he made a salad.,Did Ana make a salad?,What did Matt hand to Ana?,the salt,an article
p05,,gs,priming,source,nonsubj,Liz and Will were getting ready for a party.,Liz borrowed a hat from Will,and then he put on his jacket.,Did Will put on his jacket?,What were Liz and Will doing?,getting ready for a party,taking an English lit class together
p08,,gs,priming,source,nonsubj,Liz and Matt were building an Ikea desk.,Liz got the instructions from Matt,and then he laid all the pieces on the floor.,Did Matt lay all the pieces on the floor?,What did Liz get from Matt?,the instructions,a ride
p21,,sg,priming,source,subject,Liz was going skiing with Matt.,Liz loaned some gloves to Matt,and then she hit the slopes.,Did Matt hit the slopes?,What were Liz and Matt doing?,going skiing,playing baseball
p10,,gs,priming,source,nonsubj,Matt and Liz were dividing up the rent for the apartment.,Matt received a check from Liz,and then she checked her bank account.,Did Matt check his bank account?,What were Matt and Liz doing?,dividing up the rent for the apartment,playing with the frisbee
p30,,sg,priming,source,subject,Will and Ana were going ice skating.,Will brought the skates to Ana,and then he put his gloves on.,Did Ana put her gloves on?,What did Will bring to Ana?,the skates,a stack of dishes
s10,2,gs,critical,na,,Will and Matt were taking an exam in class.,Will borrowed a pencil from Matt,and then he began his exam.,Did Matt begin his exam?,What did Will borrow from Matt?,a pencil,the quarters
p27,,sg,priming,source,subject,Matt and Ana were walking the dog.,Matt brought the ball to Ana,and then he pet the dog.,Did Matt pet the dog?,What were Matt and Ana doing?,walking the dog,looking through their old books
p09,,gs,priming,source,nonsubj,Matt and Ana were eating at their favorite restaurant.,Matt got the ketchup from Ana,and then she ate some pizza.,Did Ana eat some pizza?,What did Matt get from Ana?,the ketchup,the gift
s01,2,sg,critical,na,,Ana and Liz were texting in class.,Ana sent a text to Liz,and then she took a screenshot.,Did Ana take a screenshot?,What were Ana and Liz doing?,texting in class,arriving home at different times
p20,,sg,priming,source,subject,Ana and Matt were having dinner at a fancy restaurant.,Ana offered some wine to Matt,and then she tried the appetizer.,Did Matt try the appetizer?,What did Ana offer to Matt?,some wine,the salt
p15,,gs,priming,source,nonsubj,Will and Liz were eating at a fast food restaurant.,Will took the fries from Liz,and then she wiped her hands with a napkin.,Did Liz wipe her hands with a napkin?,What did Will take from Liz?,the fries,the ketchup
s07,2,sg,critical,na,,Liz and Ana were writing a chemistry report together.,Liz gave the notebook to Ana,and then she wrote the results section.,Did Ana write the results section?,What did Liz give to Ana?,the notebook,the coupons
p31,,sg,priming,source,subject,Will and Liz were watching the basketball game.,Will handed the popcorn to Liz,and then he got a slice of pizza. ,Did Will get a slice of pizza?,What were Will and Liz doing?,watching the basketball game,grocery shopping
p12,,gs,priming,source,nonsubj,Matt and Liz were studying at the library.,Matt retrieved a book from Liz,and then she took a break from studying.,Did Matt take a break from studying?,What were Matt and Liz doing?,studying at the library,getting ready for a party
s05,2,gs,critical,na,,Matt and Will were looking up how to get to the movie theater.,Matt got the phone from Will,and then he wrote down the directions.,Did Matt write down the directions?,What were Matt and Will doing?,looking up how to get to the movie theater,throwing away the trash
p06,,gs,priming,source,nonsubj,Liz and Matt were playing with the frisbee outside.,Liz snatched the frisbee from Matt,and then he decided not to play anymore.,Did Liz decide not to play anymore?,What were Liz and Matt doing?,playing with the frisbee,studying at the library
p19,,sg,priming,source,subject,Ana and Will were looking through their old books.,Ana loaned a novel to Will,and then she organized her comic books.,Did Ana organize her comic books?,What were Ana and Will doing?,looking through their old books,cleaning the car
