Type filler,item,Stimulus,Stimtype,Q1,answer1,answer2,Q2,answer3,answer4
Object_exposure,F01,Ana played music with Will. He played the piano.,Filler,What did they do,play music,Went swimming,What did Will play,piano,guitar
Object_exposure,F02,Ana went fishing with Will. He borrowed a fishing rod.,Filler,What did they do,went fishing,Baked a cake,Did Ana borrow the fishing rod,Yes,No
Object_exposure,F03,Ana prepared a presentation with Matt. He controlled the computer.,Filler,What did Matt control,microwave,computer,What did they do,prepared a presentation,Got ready for school
Object_exposure,F04,Ana planned a trip with Matt. He wanted to go by train.,Filler,What did Matt want,To take the train,To get ice cream,What did they do,Planned a trip,Join a gym
Object_exposure,F05,Ana went to the zoo with Will. He saw a panda.,Filler,What did they do,ride a bike,Went to the zoo,What did Will see,Monkeys,Panda
Object_exposure,F06,Ana played cards with Matt. He used the Ace of Spades to win.,Filler,What did Matt use,Ace of Spades,dice,What did they do,Went to the mall,Played cards
Object_exposure,F07,Ana painted the house with Will. He borrowed the red paint.,Filler,What did they do,painted the house,Took dance lessons,Did Ana borrow the red paint,Yes,No
Object_exposure,F08,Ana went to a wedding with Will. He brought some flowers.,Filler,What did they do,Went for a run,Went to a wedding,What did Will bring,flowers,Wine
Object_exposure,F09,Will played basketball with Liz. She wore the blue shorts.,Filler,Did Will wear the blue shorts,Yes,No,What did they do,Played basketball,Ordered pizza
Object_exposure,F10,Will got ready for school with Liz. She grabbed a jacket.,Filler,What did they do,Got ready for school,Performed in a play,What did Liz grab,scarf,jacket
Object_exposure,F11,Will watched a soccer game with Liz. She used the binoculars.,Filler,What did they do,Watch a basketball game,Watch a soccor game,Did Will use the binoculars,Yes,No
Object_exposure,F12,Will watched TV with Liz. She grabbed the remote control.,Filler,Did Liz grab the remote control,Yes,No,What did they do,Watched TV,Played a board game
Object_exposure,F13,Will hiked with Liz. She looked at the map.,Filler,Did Liz look at the map,Yes,No,What did they do,Went hiking,Went dancing
Object_exposure,F14,Will went outside with Liz. She wore a hat.,Filler,What did they do,Went outside,Take a nap,Did Liz wear the hat,Yes,No
Object_exposure,F15,Will had a drink with Ana. She ordered some wine.,Filler,What did they do,Have an argument,Got drinks,What did Ana order,Wine,Pie
Object_exposure,F16,Will went running with Ana. She needed some water.,Filler,Did Will need water,Yes,No,What did they do,Went running,Went to see a play
Object_exposure,F17,Liz went to a supermarket with Matt. He bought some bread.,Filler,What did Matt buy,Milk,Bread,What did they do,Took a shower,Went to the supermarket
Object_exposure,F18,Liz ate french fries with Matt. He asked for some ketchup.,Filler,Did Matt ask for ketchup,Yes,No,What did they do,Walked the dog,Ate french fries
Object_exposure,F19,Liz went to the library with Matt. He borrowed a comic book.,Filler,What did they do,Went to the pool,Went to the library,What did Matt borrow,video tape,comic book
